,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,elev_high,elev_low,average_speed,max_speed,start_latlng,start_latitude,start_longitude,distance_km,day_of_week,month_of_year,year,elapsed_time_hr,moving_time_hr
16,10855376010,Afternoon Run,2024-02-28 16:43:07,Run,4212.2,0 days 00:00:00.000001661,0 days 00:00:00.000001661,58.0,1111.6,1058.4,2.536,4.544,"[45.93160428106785, 6.886166464537382]",45.93160428106785,6.886166464537382,4.2122,Wednesday,2,2024,4.613888888888889e-10,4.613888888888889e-10
17,10833733809,Lunch Nordic Ski,2024-02-25 11:23:48,NordicSki,11064.3,0 days 00:00:00.000005117,0 days 00:00:00.000007586,116.0,1663.6,1572.8,2.162,6.422,"[45.82838349044323, 6.982523649930954]",45.82838349044323,6.982523649930954,11.0643,Sunday,2,2024,2.1072222222222224e-09,1.4213888888888888e-09
18,10827527386,Lunch Alpine Ski,2024-02-24 09:29:34,AlpineSki,25847.7,0 days 00:00:00.000005514,0 days 00:00:00.000009133,2234.0,2248.4,1643.7,4.688,15.008,"[46.020717825740576, 6.970743890851736]",46.020717825740576,6.970743890851736,25.8477,Saturday,2,2024,2.5369444444444444e-09,1.5316666666666667e-09
19,10802231792,Evening Walk,2024-02-20 18:26:16,Hike,2540.7,0 days 00:00:00.000001960,0 days 00:00:00.000001960,24.0,1084.4,1057.0,1.296,2.039,"[45.93148861080408, 6.8859687354415655]",45.93148861080408,6.8859687354415655,2.5406999999999997,Tuesday,2,2024,5.444444444444445e-10,5.444444444444445e-10
20,10787564956,Afternoon Hike,2024-02-18 13:26:16,Hike,9005.5,0 days 00:00:00.000007411,0 days 00:00:00.000007427,212.0,1253.0,1059.4,1.215,2.535,"[45.93188733793795, 6.8853190541267395]",45.93188733793795,6.8853190541267395,9.0055,Sunday,2,2024,2.0630555555555554e-09,2.058611111111111e-09
21,10780625693,Afternoon Hike,2024-02-17 14:24:43,Hike,7784.6,0 days 00:00:00.000005927,0 days 00:00:00.000005927,214.0,1247.0,1051.0,1.313,2.21,"[45.93146421946585, 6.885697916150093]",45.93146421946585,6.885697916150093,7.7846,Saturday,2,2024,1.646388888888889e-09,1.646388888888889e-09
22,10774202329,Afternoon Run,2024-02-16 17:26:28,Run,3814.8,0 days 00:00:00.000001510,0 days 00:00:00.000001518,38.0,1101.8,1063.2,2.526,3.682,"[45.931577207520604, 6.886202339082956]",45.931577207520604,6.886202339082956,3.8148,Friday,2,2024,4.2166666666666666e-10,4.1944444444444446e-10
23,10760373232,Lunch Alpine Ski,2024-02-14 12:21:09,AlpineSki,7962.9,0 days 00:00:00.000002401,0 days 00:00:00.000005362,47.4,2324.0,1778.2,3.316,12.22,"[45.936766, 6.853784]",45.936766,6.853784,7.962899999999999,Wednesday,2,2024,1.4894444444444444e-09,6.669444444444444e-10
24,10747148360,Morning Alpine Ski,2024-02-12 10:31:15,AlpineSki,34257.2,0 days 00:00:00.000011909,0 days 00:00:00.000018807,3867.1,2484.1,1630.6,2.877,12.52,"[45.958987, 6.886949]",45.958987,6.886949,34.2572,Monday,2,2024,5.2241666666666665e-09,3.3080555555555556e-09
25,10740124829,Lunch Alpine Ski,2024-02-11 11:43:21,AlpineSki,9629.0,0 days 00:00:00.000003637,0 days 00:00:00.000004667,1080.4,2393.2,1745.1,2.648,9.88,"[45.959704, 6.886953]",45.959704,6.886953,9.629,Sunday,2,2024,1.296388888888889e-09,1.0102777777777778e-09
